annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
2003,27,"CA, CO, DE, TR",892,327773.4,168223430.0
2003,12,"CA, CO, DE, TR",367,99442.0,39390238.0
2003,16,CO,767,148881.0,38171563.0
2003,16,DE,68,3355.0,
2003,16,TR,11,3263.0,865000.0
2003,6,CO,51,898234.16,116734830.0
2003,6,DE,23,6490.0,
2003,6,TR,1062,2924012.3,387919136.0
2003,2,CO,22,139355.0,18819373.0
2003,2,DE,29,2545.0,
2003,2,TR,577,197651.83,25633032.0
2004,1,CO,107,481082.02,68552325.0
2004,1,DE,22,5270.0,
2004,1,TR,508,463393.47,67241313.0
2004,10,"CO, DE, TR",271,119762.0,59826126.0
2004,7,CO,46,202649.95,34359102.0
2004,7,DE,29,23470.0,
2004,7,TR,999,1129768.68,153947599.0
2004,22,CA,150,20673.0,1416015.0
2004,22,CO,98,65887.0,34267000.0
2004,22,DE,16,610.0,24500.0
2004,22,TR,109,9851.5,2566624.0
2004,13,CA,1263,243994.0,1179807.0
2004,13,CO,163,82239.5,64630940.0
2004,13,TR,101,31043.0,23682200.0
2004,24,CA,400,109875.48,17816785.0
2004,24,CO,123,411685.5,60003300.0
2004,24,DE,22,7878.75,
2004,24,TR,10,420.0,38070.0
2004,5,"CO, DE, TR",1246,647616.45,76860828.0
2004,8,CO,28,157594.39,19337476.0
2004,8,DE,25,8100.0,
2004,8,TR,332,177921.26,21992179.0
2004,4,CO,87,284290.94,43609359.0
2004,4,DE,30,6120.0,
2004,4,TR,630,501197.75,79735933.0
2004,11,"CO, DE, TR",275,83506.06,11692775.0
2004,25,"CA, CO, DE",1477,237398.01,119505453.0
2004,9,CO,328,316821.83,59553788.0
2004,9,DE,10,2790.0,
2004,9,TR,447,247016.02,33736278.0
2004,3,CO,53,173816.97,28905554.0
2004,3,DE,61,4480.0,
2004,3,TR,695,364547.7,49860035.0
2004,27,CA,773,77746.0,38317823.0
2004,27,CO,236,194316.0,120947271.0
2004,27,DE,11,3999.0,
2004,27,TR,65,34838.0,20429897.0
2004,12,CA,77,3827.0,565585.0
2004,12,CO,61,91275.0,49405000.0
2004,12,DE,13,1040.0,
2004,12,TR,266,72433.0,15367114.0
2004,16,CO,777,185153.0,115809534.0
2004,16,DE,63,3890.0,
2004,16,TR,14,4797.0,1951241.0
2004,6,CO,53,922433.86,128554321.0
2004,6,DE,26,14260.0,
2004,6,TR,1203,2716936.78,379114215.0
2004,2,CO,46,221193.42,40457614.0
2004,2,DE,37,4810.0,
2004,2,TR,723,254437.47,41580654.0
2005,1,CO,63,233999.59,29811272.0
2005,1,DE,17,7030.0,
2005,1,TR,460,291397.99,41986058.0
2005,10,"CO, DE",257,81465.0,44829030.0
2005,7,CO,51,378036.22,50419231.0
2005,7,DE,26,20600.0,
2005,7,TR,1149,757939.96,101870066.0
2005,22,"CA, CO, DE, TR",479,90498.03,30588459.0
2005,13,CA,1145,132048.28,797100.0
2005,13,CO,119,27144.0,17399900.0
2005,13,TR,91,21422.0,15159000.0
2005,24,"CA, CO, DE, TR",509,598372.2,73293714.0
2005,5,CO,38,311611.52,37364866.0
2005,5,DE,19,16530.0,
2005,5,TR,1305,470035.27,49801186.0
2005,8,CO,56,368755.22,47194085.0
2005,8,DE,14,2860.0,
2005,8,TR,374,318172.02,38103490.0
2005,4,CO,110,628318.83,87217939.0
2005,4,DE,32,10760.0,
2005,4,TR,623,272827.43,37567143.0
2005,11,"CO, DE, TR",363,208454.55,51952382.0
2005,25,CA,1116,19295.0,3626008.0
2005,25,CO,335,134184.01,59267684.0
2005,25,DE,14,1300.0,
2005,9,CO,268,429286.67,68869253.0
2005,9,DE,15,2790.0,
2005,9,TR,389,148973.36,19669266.0
2005,3,CO,39,270826.21,37526555.0
2005,3,DE,41,6100.0,
2005,3,TR,889,492818.3,67476774.0
2005,27,CA,716,72843.0,40541323.0
2005,27,CO,227,245776.0,200812002.0
2005,27,DE,17,7710.0,
2005,27,TR,51,32958.0,13863813.0
2005,12,CA,69,3959.0,593620.0
2005,12,CO,47,28800.0,32130000.0
2005,12,DE,12,1300.0,
2005,12,TR,186,59634.0,13265591.0
2005,16,CO,803,219073.0,100028372.0
2005,16,DE,35,2090.0,
2005,16,TR,11,500.0,1619685.0
2005,6,CO,30,903177.39,121459383.0
2005,6,DE,14,15855.0,
2005,6,TR,1195,2160963.41,285087689.0
2005,2,CO,37,153246.97,27477141.0
2005,2,DE,31,4130.0,
2005,2,TR,587,290403.61,38321887.0
2006,1,CO,68,203555.96,25366457.0
2006,1,DE,16,10110.0,
2006,1,TR,480,600585.63,77459950.0
2006,10,"CO, DE, TR",253,57596.0,31985032.0
2006,7,CO,68,174752.5,21403297.0
2006,7,DE,16,15000.0,
2006,7,TR,1085,468725.43,53102216.0
2006,22,CA,168,14633.8,1841991.0
2006,22,CO,57,102398.0,36848600.0
2006,22,DE,12,530.0,
2006,22,TR,117,10262.5,2640700.0
2006,13,CA,1436,220789.0,2085600.0
2006,13,CO,116,24160.0,23921145.0
2006,13,TR,92,19690.0,13568600.0
2006,24,CA,328,119038.14,13477585.0
2006,24,CO,113,143497.75,16774019.0
2006,24,DE,12,1667.5,
2006,5,CO,13,233746.27,28307538.0
2006,5,DE,16,5510.0,
2006,5,TR,1277,946871.95,111745861.0
2006,8,"CA, CO, DE, TR",491,781512.57,102719685.0
2006,4,CO,59,525479.54,59481650.0
2006,4,DE,36,16910.0,
2006,4,TR,737,525053.47,63575232.0
